query,instr,cycles,branches,br_miss,l1d_miss,alloc_bytes,dealloc_bytes,ms
correlated hash join,842589.5364258008,248145.7621024536,100920.01431829103,-186.20170380794374,8082.933794648619,2716.728,2729.32,0.08323
optional allShortest,416691.7202126207,152818.74412255723,17424.986170366818,-304.6933282336087,5216.10796781526,2237.376,2657.2,0.058216
optional varlen,338966.3450241782,133855.3585581428,2585.6448967185916,-411.0912269734849,3172.5260402299277,1921.368,2211.88,0.05226
optional path build,350448.52067384997,137069.1452237504,5539.582475719593,-409.39885092363136,3512.6103633643665,2079.92,2005.952,0.053329
id eq join,14855320.05733571,2791497.3123237365,2395188.537215712,3685.393982891325,102214.78508960393,1590270.992,1588858.8,0.821744
temporal now fns,272653.2628777055,129755.84235292627,62302.00044771396,593.8139947133537,8966.26821506388,1563.392,1496.168,0.063317
temporal maps 2,265007.0779307475,119886.39622196123,73929.27091151428,610.5654698548603,10060.508318883078,1851.144,1811.112,0.04884
temporal parse 2,273500.212530937,122219.65715838828,78344.26796724385,593.8799326248952,10652.746432783735,1671.816,2832.92,0.049746
shortestPath in CALL,426181.1112541976,164819.68439148122,113768.39417744032,811.1521230633779,15299.398752590876,2153.544,2640.32,0.062799
map projection row,355233.8016232605,144049.52594358614,106512.9862885325,755.8121003250709,12583.755453990592,1784.368,1973.96,0.056315
list comp row,374990.88164973864,169518.72311996785,210918.7888513159,2509.3389400287306,18924.183968766964,1627.576,1733.664,0.06681
agg in CALL,13980404.486147176,3022280.9503448345,3322445.464829111,4830.032826509023,131170.6096770144,65038.864,64159.872,0.889208
CASE projection,529782.5351589407,230929.45977812837,333751.20316549507,3264.304910139665,24703.095341449225,1860.912,2654.512,0.103409
chained eq,400063.32392718777,154814.57408210685,150021.13497098538,722.5639079931723,11963.681424297663,1608.728,1821.184,0.06348
query params,373080.2139499537,148960.44414800245,60080.947982691534,247.71882612208043,8426.141324589633,1744.616,1754.192,0.058341
IN mod filter,310409.9146733761,128441.2018826828,16779.51783639568,-198.31600784871844,4212.720578612726,1623.632,1709.144,0.051064
edge IN index,385465.12124882336,151070.9551381501,95264.73450136963,647.2914212967003,11505.993186106869,1997.032,1886.256,0.058214
IN on list prop,294812.0636746405,132764.75966977607,119670.91062733938,738.3947952746519,13336.301605810182,1585.648,1754.128,0.052887
ORDER BY agg,28099401.74297025,5067449.724510651,5621018.642260186,-994.2354633274693,1588.417430885016,2169.216,2286.36,1.45111
AND pattern filter,451179.9652669986,208653.4574985235,204891.0392139054,2721.085821948973,20352.028351622925,2189.28,1740.192,0.086001
cross product filter,434914.9925207387,152169.3949781095,50476.05855970055,331.03086587315914,7499.117944516853,1992.256,2149.304,0.057978
vlt edge prop filter,350825.94660587114,136526.42576376058,45087.06121113686,298.494037932254,8245.85692376187,2053.584,2006.312,0.053388
correlated edge dyn idx,599400.2681996556,190492.92388118868,90571.06223215425,403.09484332066404,10499.278630988021,2363.408,2190.816,0.067995
delete return entities,29423790.750593673,5226347.076588563,7659371.927450466,3224.679766557733,568890.7126226708,7102065.824,7102216.8,1.474444
create delete indexed,14246605.96853262,2614355.842205747,4097691.809983116,160.95229627330787,314931.79030066554,3653058.576,3653548.112,0.790078
delete indexed edge,6353714.449966723,1270668.7170192772,1400165.9493682946,-3397.7520673491313,144419.49010273995,1928103.648,1927236.096,0.423396
MERGE edge on create/match,527610.5028431602,188993.29421470058,17808.028725224925,-598.146282563857,7523.252341613394,2051.376,2207.432,0.077572
fulltext edge query,283986.9925166312,116433.80714461056,2270.205932813376,-281.7778788007344,3071.902208809546,1705.728,2146.056,0.042565
fulltext stopwords,281591.01396932174,118685.77357563109,-4179.5253026235405,-383.6778420199811,2822.397264512138,1652.592,1725.736,0.047512
string index range,326326.42994750116,170388.73955913176,194504.63570607832,2785.2963997318716,17973.451130144207,1635.016,1691.44,0.069832
string index between,375541.34106607176,138382.10493202484,28736.259416087985,2.08171359669778,4973.9282826997205,1781.0,1685.008,0.054136
distance index scan,340762.948779453,152451.65472253595,101320.37498927685,978.1344805260541,8576.282375513398,1627.584,1808.952,0.060063
multi-label index seek,278057.4714946557,117262.0265247406,5974.702072727025,-101.53915073135931,4687.031550963392,1529.576,1551.328,0.047262
SPpaths pathCount,1063504.9090484371,289879.10636707925,121479.91261519103,-473.81296615161034,3605.8115475678314,2906.528,2253.624,0.094355
SSpaths pathCount,333250.2252847903,130918.96529957862,6042.561141830377,-363.75383065082764,3232.04241381228,1706.544,2306.392,0.050754
SPpaths weighted,844701.5123790854,240737.2924343628,83040.62032568887,-494.0298553937712,3259.6674339751958,2620.856,2183.432,0.08152
betweenness default,961256552.4236848,177459418.42583537,210190079.19234017,221533.89804188293,1706439.7199540269,8638849.6,8622738.8,48.1084
labelPropagation default,192298649.4086153,60384901.05039938,57989697.53479986,161228.74348116806,3244665.420332893,3130258.4,3112677.2,3.4053500000000003
WCC typed,31469430.48075061,5904653.67615876,9388171.685138034,15741.612713568726,868467.5087150545,3396045.72,3396276.28,1.7307700000000001
MSF nodes yield,84882401.99044678,15651132.141542807,26367374.917909976,110583.47082318306,1850825.7053241585,351824825011101.2,18237528.08,5.480509999999999
maxFlow KNOWS,315438297.65527606,58792100.399744816,67544817.46942538,57903.349103328044,932170.7711804681,35032555217.32,8567382.84,16.11316
map proj in comprehension,289749.18578838464,132677.52048298257,-9711.975652363375,-380.6064098149941,3312.7930330035783,32001591.592,3393.76,0.062659
shortestPath in comprehension,349127.5995994683,138526.9205775005,8662.770434664502,-342.01946547995726,4757.834320666605,195202142.208,2878.024,0.054438
nested comprehension,290988.1763133257,124833.73734181818,6058.742905417114,-205.27438765610026,4872.315001811166,3201612.432,4239.16,0.049979
func in comprehension,285394.4613466829,122600.31967826647,684.5871422366351,-328.224733645728,3973.6287080136854,1606.2,2544.352,0.049038
rel prop in comprehension,372280.47284047655,145227.77203714338,13711.429274549313,-342.49240249307536,5035.266763740252,355202260.224,3303.472,0.056303
param in comprehension,261294.72975890382,115250.77239134669,-2165.9594363581164,-307.2220126904821,3543.125679080651,12801456.168,1656.328,0.046253
chained cmp in comprehension,257144.0936155147,131444.02335217802,113509.8461576024,1425.2114599635436,9564.431160169135,2745601503.336,5649.008,0.053056
chained cmp null,244975.64979826863,108724.1241910422,39484.33950112386,-166.4266783670403,6912.754867155528,1421.544,1763.808,0.044483
rel subscript,380034.06874072156,146507.12413275655,14578.765076386653,-304.70087525099575,4877.050102826872,476801983.736,4635.016,0.056419
list null subscript,238802.60243458222,105562.82252500733,-8489.758675657778,-352.7047998926421,1920.087535819061,1466.992,1391.12,0.042901
